League,Year,Season,Type,blueTeamTag,blueResult,redResult,redTeamTag,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,blueBans,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,redBans
NALCS,2015,Spring,Season,TSM,1,0,C9,Irelia,RekSai,Ahri,Jinx,Janna,"Rumble, Kassadin, Lissandra",Gnar,Elise,Fizz,Sivir,Thresh,"Tristana, Leblanc, Nidalee"
NALCS,2015,Spring,Season,CST,0,1,DIG,Gnar,Rengar,Ahri,Caitlyn,Leona,"Kassadin, Sivir, Lissandra",Irelia,JarvanIV,Azir,Corki,Annie,"RekSai, Janna, Leblanc"
NALCS,2015,Spring,Season,WFX,1,0,GV,Renekton,Rengar,Fizz,Sivir,Annie,"JarvanIV, Lissandra, Kassadin",Sion,LeeSin,Azir,Corki,Janna,"Leblanc, Zed, RekSai"
NALCS,2015,Spring,Season,TIP,0,1,TL,Irelia,JarvanIV,Leblanc,Sivir,Thresh,"Annie, Lissandra, Kassadin",Gnar,Nunu,Lulu,KogMaw,Janna,"RekSai, Rumble, LeeSin"
NALCS,2015,Spring,Season,CLG,1,0,T8,Gnar,JarvanIV,Lissandra,Tristana,Janna,"Irelia, Pantheon, Kassadin",Sion,RekSai,Lulu,Corki,Annie,"Rumble, Sivir, Rengar"
NALCS,2015,Spring,Season,DIG,0,1,TIP,Kassadin,Rengar,Leblanc,Sivir,Annie,"LeeSin, Rumble, Janna",Gnar,JarvanIV,Lulu,Corki,Thresh,"Azir, RekSai, Lissandra"
NALCS,2015,Spring,Season,CST,1,0,WFX,Irelia,JarvanIV,Xerath,Corki,Janna,"Zed, Sivir, Annie",Renekton,LeeSin,Leblanc,Tristana,Nami,"RekSai, Gnar, Kassadin"
NALCS,2015,Spring,Season,TL,1,0,CLG,Renekton,JarvanIV,Azir,Caitlyn,Annie,"Lissandra, Janna, Kassadin",Rumble,Rengar,Leblanc,Sivir,Blitzcrank,"Nunu, Gnar, RekSai"
NALCS,2015,Spring,Season,C9,0,1,GV,Sion,RekSai,Orianna,KogMaw,Janna,"JarvanIV, Gnar, Sivir",Kassadin,Vi,Zed,Corki,Morgana,"Rumble, Lissandra, Fizz"
NALCS,2015,Spring,Season,T8,1,0,TSM,Irelia,Nocturne,Orianna,Sivir,Nami,"Rumble, Janna, Kassadin",Gnar,Rengar,Leblanc,Graves,Morgana,"RekSai, JarvanIV, Lissandra"
NALCS,2015,Spring,Season,GV,1,0,DIG,Gnar,JarvanIV,Azir,Corki,Morgana,"Irelia, Annie, Sivir",Lulu,LeeSin,Xerath,Ezreal,Janna,"RekSai, Lissandra, Kassadin"
NALCS,2015,Spring,Season,T8,1,0,CST,Jax,JarvanIV,Kassadin,Graves,Morgana,"Janna, Rumble",Gnar,RekSai,Ahri,Corki,Thresh,"Nocturne, Sivir, Irelia"
NALCS,2015,Spring,Season,C9,1,0,TL,Irelia,Vi,Lissandra,Kalista,Annie,"Azir, Lulu, Cassiopeia",Gnar,JarvanIV,Ahri,Sivir,Leona,"Rumble, Kassadin, RekSai"
NALCS,2015,Spring,Season,TIP,0,1,CLG,Lulu,LeeSin,Xerath,Corki,Janna,"Azir, Kassadin, Lissandra",Sion,JarvanIV,Cassiopeia,Kalista,Blitzcrank,"RekSai, Leblanc, Rumble"
NALCS,2015,Spring,Season,TSM,1,0,WFX,Maokai,JarvanIV,Leblanc,Kalista,Annie,"Kassadin, Sivir, Lissandra",Lulu,Rengar,Morgana,Tristana,Janna,"RekSai, Irelia, Rumble"
